house_id,date_built,date_price,garden,dock,capital,royal_market,guarding_tower,river,renovation,dining_rooms,bedrooms,bathrooms,king_visit,curse_orcerer,king_blessed,land_of_farm,location,holy_tree,knight
6e32ced7,4/28/1603,5/19/1610,False,84.170405,15.776747,62.816373,51.870346,27.379252,False,0,3,3,False,False,144,huge, Servant's Premises,True,26.231919
6e32cefc,10/13/1603,3/15/1608,False,57.719253,67.341891,0.0,119.177337,71.789958,False,4,3,4,False,False,93,small, Servant's Premises,True,77.701631
6e32cf26,5/24/1600,3/7/1607,False,1.072398,25.097674,60.114222,143.926651,46.328111,False,2,4,4,False,False,135,small, The Mountains,True,35.225807
6e32cfde,12/15/1600,6/11/1607,False,29.751994,35.790417,7.269568,170.610065,47.287544,False,4,0,3,False,False,124,small, The Mountains,True,46.502972
6e32cfec,5/23/1602,8/11/1612,True,49.458007,0.0,77.048386,96.271542,5.063825,False,4,4,2,True,False,74,no, The Mountains,False,0.0
6e32d058,11/27/1602,1/17/1611,False,84.271118,131.952578,12.889536,90.780094,27.119841,False,4,2,2,False,False,28,small, Cursed Land,True,142.714658
6e32d09d,1/6/1606,7/11/1612,False,56.083481,44.952248,0.0,83.564314,55.555218,False,2,2,3,False,False,115,huge, Cursed Land,True,55.721486
6e32d0a5,10/21/1606,8/18/1610,False,16.052652,114.943975,0.0,57.513601,55.961658,False,2,4,3,False,True,45,small, The Mountains,False,125.462999
6e32d0b3,3/20/1605,1/21/1608,True,10.192758,19.046904,26.831774,116.583447,0.559862,False,3,3,2,True,False,141,no, The Mountains,False,29.219474
6e32d0db,10/12/1603,7/4/1610,False,17.557024,9.794132,3.804804,289.066307,31.805639,False,3,4,2,False,False,150,small, The Mountains,True,19.957548
6e32d0ea,11/5/1604,8/21/1611,False,0.0,107.57295,1.957051,172.678117,47.079764,False,4,3,2,False,False,52,small, Cursed Land,True,118.327367
6e32d121,11/24/1602,7/4/1607,False,0.0,58.617505,125.84741,93.674947,48.987611,False,2,2,3,False,False,101,small, Servant's Premises,True,68.874332
6e32d125,10/25/1603,4/15/1607,False,98.589831,0.0,9.687245,89.359935,64.708699,False,3,4,3,False,False,74,huge,NA,False,0.0
6e32d131,1/25/1605,1/12/1611,False,32.004573,15.341088,0.0,4.646544,3.000162,True,3,4,4,False,False,145,small, The Mountains,True,26.049379
6e32d14f,3/20/1604,4/26/1611,False,26.807444,4.281174,35.95796,69.046504,2.47087,False,2,4,4,False,False,156,small, The Mountains,True,14.669303
