house_id,date_built,date_price,garden,dock,capital,royal_market,guarding_tower,river,renovation,dining_rooms,bedrooms,bathrooms,king_visit,curse_orcerer,king_blessed,land_of_farm,location,holy_tree,knight
6e32ceed,4/28/1601,8/5/1612,False,23.614598,24.762207,84.008876,0.0,7.69931,False,4,2,3,False,False,135,small, The Mountains,True,35.537406
6e32cf0e,2/11/1606,3/23/1609,False,60.198424,65.509891,108.357045,179.275253,52.220719,False,2,3,3,False,False,94,huge, The Mountains,True,76.231255
6e32cf1a,5/12/1605,6/28/1612,False,11.585549,54.728789,13.620052,12.494618,38.447667,False,4,2,3,False,False,105,small, The Mountains,False,65.333281
6e32cf92,7/5/1601,8/2/1608,False,11.38196,23.760392,32.981737,67.083665,21.011419,False,0,2,0,False,True,136,small, The Mountains,False,34.292892
6e32cfd3,12/28/1600,5/4/1612,False,0.550172,52.901633,114.410861,0.0,20.379008,False,2,3,4,False,False,107,small, The Mountains,True,63.465074
6e32d050,2/28/1600,12/25/1610,False,144.839853,3.916571,13.078234,37.845593,25.428054,False,4,4,3,False,False,156,small, The Mountains,True,14.369894
6e32d052,2/11/1601,4/25/1611,False,118.651736,32.700903,56.862286,5.995957,39.460784,False,0,2,2,False,False,127,huge, King's Landing,True,42.837121
6e32d05d,2/8/1606,7/11/1608,True,0.0,59.517323,41.629638,91.33016,51.924313,True,2,2,2,True,False,100,no, King's Landing,True,69.714655
6e32d168,6/27/1602,10/18/1610,False,11.528964,70.81499,21.996327,107.330487,56.774188,False,2,3,0,False,False,89,small, The Mountains,True,81.358144
6e32d198,11/3/1604,4/9/1609,True,61.956492,86.22197,0.0,94.953504,0.182339,False,4,2,3,True,False,74,no, The Mountains,True,97.134766
6e32d1a6,5/17/1601,2/1/1609,False,19.811479,128.836428,25.903053,159.313637,39.037751,False,4,4,2,False,False,31,huge, King's Landing,True,138.987432
6e32d247,7/9/1600,1/6/1610,True,25.238983,38.860171,125.084861,16.405043,67.46579,True,2,3,4,True,False,121,no, Cursed Land,True,49.476535
6e32d251,8/6/1604,3/18/1607,False,106.051874,50.450694,45.642858,64.315899,32.062269,False,2,3,2,False,False,110,small, King's Landing,True,60.701051
6e32d28f,11/10/1604,7/11/1609,False,0.0,6.867749,90.900064,95.82465,92.210772,False,2,3,4,False,False,153,huge, The Mountains,True,17.471893
6e32d2bb,4/1/1606,9/14/1607,False,24.749239,57.295668,15.389556,55.354765,38.950286,False,2,3,3,False,True,103,small, Servant's Premises,False,67.967217
6e32d2c1,8/14/1602,2/19/1610,False,120.733528,11.597347,146.396552,110.838136,16.907109,True,4,4,4,False,True,148,huge, King's Landing,False,22.549198
6e32d312,10/14/1604,12/3/1612,False,12.93562,69.02744,3.285966,201.662452,42.016971,False,0,3,3,False,False,91,huge, Cursed Land,True,79.93333
6e32d374,12/19/1604,10/28/1610,False,25.10167,29.613494,55.024261,196.324466,69.978853,False,3,4,2,False,False,130,small, Servant's Premises,True,39.913958
6e32d39b,10/27/1600,2/16/1608,False,34.178862,65.14769,58.065483,182.937118,88.520037,False,4,2,2,False,True,95,small, Servant's Premises,False,75.936031
6e32d3c1,12/15/1605,6/6/1612,False,22.329426,24.015656,2.660043,48.029591,3.088986,False,2,2,2,False,False,136,small, The Mountains,True,34.045553
6e32d3cf,5/6/1602,5/20/1608,True,22.048107,85.201231,24.949259,147.886385,52.554378,False,3,4,4,True,False,75,no, Cursed Land,True,95.48291
6e32d3dc,2/6/1603,2/24/1609,False,25.286142,101.851511,17.6197,0.0,6.903864,False,2,4,3,False,False,58,small, Cursed Land,True,112.561969
6e32d41c,6/4/1602,10/13/1609,False,32.269043,21.977024,5.429153,244.510351,35.196896,True,2,2,2,False,False,138,small, The Mountains,True,32.67589
6e32d4a2,1/15/1606,3/26/1612,False,102.742239,87.174461,0.0,67.34938,24.426349,False,2,4,3,False,False,73,small, Servant's Premises,True,97.666718
6e32d4d7,9/1/1602,8/7/1612,False,42.171718,0.0,38.438777,105.570384,46.298736,False,4,4,2,False,True,74,huge, Servant's Premises,False,0.0
6e32d4f3,5/7/1605,12/23/1607,False,53.476126,0.0,77.343604,75.753684,12.021764,True,3,2,4,False,False,74,small,NA,True,0.0
6e32d52b,9/28/1605,8/14/1608,False,40.168785,29.961515,109.443143,68.114843,23.325201,False,3,4,0,False,False,130,small, Cursed Land,True,40.143397
6e32d579,11/23/1604,4/6/1608,False,107.26898,62.656869,38.897115,72.117075,23.6158,False,0,3,4,False,False,97,small, The Mountains,True,73.112153
6e32d598,12/9/1605,8/11/1608,False,150.645269,27.126369,9.913506,0.0,23.449791,False,2,3,2,False,False,133,small, King's Landing,True,37.270407
6e32d5c3,11/12/1600,5/21/1610,False,66.335858,120.97873,50.615527,135.50515,0.386423,False,3,2,2,False,False,39,huge, Cursed Land,True,131.537243
6e32d5c8,12/16/1605,12/23/1610,False,33.880665,77.375875,0.0,0.0,22.824517,False,2,4,2,False,False,83,small, The Mountains,True,87.472476
6e32d616,4/27/1600,10/12/1610,False,141.523166,22.446327,137.235922,183.152811,5.034471,True,4,2,4,False,False,138,small, Servant's Premises,True,32.725863
6e32d62d,7/20/1602,5/21/1608,True,88.002963,77.459649,0.0,5.701726,66.968689,False,4,2,4,True,False,83,no,NA,True,88.138903
6e32d633,2/1/1602,1/22/1610,False,6.509459,0.0,0.0,11.531404,34.655994,True,2,4,2,False,False,74,small, The Mountains,True,0.0
6e32d637,2/15/1601,1/23/1611,True,65.581238,39.310469,112.224372,0.901592,74.112203,False,2,4,3,True,False,121,no, The Mountains,False,50.115948
6e32d65e,1/9/1603,6/24/1609,False,48.322404,19.740304,65.902782,8.820359,18.927025,False,0,4,2,False,False,140,huge, Cursed Land,False,30.070507
6e32d66f,8/14/1603,7/21/1610,False,103.617087,32.128276,47.642246,50.868227,47.936623,False,4,3,3,False,False,128,small, The Mountains,True,43.099232
6e32d731,11/21/1603,12/23/1611,False,29.832753,62.735986,44.724407,146.914709,19.139487,False,4,3,4,False,False,97,small, King's Landing,False,73.575472
6e32d73f,5/20/1606,9/1/1610,False,21.985219,46.200079,59.419579,72.943792,39.070007,True,3,3,3,False,False,114,small, The Mountains,True,56.589139
6e32d7e2,6/12/1601,5/11/1611,False,7.674252,14.018007,75.851147,23.307567,37.224414,False,3,4,3,False,False,146,small,NA,True,24.512953
6e32d7f9,2/25/1605,10/27/1611,True,91.544908,6.516754,34.910219,113.928599,36.854118,True,4,4,4,True,False,153,no, Servant's Premises,False,16.785708
6e32d8c2,4/1/1606,5/10/1608,False,86.596538,27.364068,0.0,61.729568,59.024655,False,3,4,2,False,False,133,small,NA,True,37.542797
6e32d8f2,1/15/1605,4/7/1612,False,123.816391,66.774234,47.739221,148.263728,35.77227,False,3,3,4,False,True,93,huge, King's Landing,False,77.108887
6e32d927,6/14/1606,2/26/1610,False,16.855096,38.490619,72.935958,50.548496,76.188463,False,2,3,3,False,False,122,small, Servant's Premises,False,49.317663
6e32d9f7,7/26/1606,2/24/1608,False,0.0,72.810967,23.76307,168.882166,66.706198,True,4,3,4,False,False,87,small, Cursed Land,True,83.072278
6e32da0f,3/5/1603,10/4/1610,False,95.256791,104.797698,12.261639,72.498988,26.661102,False,4,2,4,False,False,55,huge, Cursed Land,True,114.942375
6e32da3d,5/9/1604,8/20/1611,False,0.0,26.310092,115.684528,64.422877,47.199386,False,0,4,4,False,False,134,huge, The Mountains,False,36.607535
6e32da54,2/13/1601,9/24/1608,False,33.656129,5.622982,26.006063,97.369714,12.749635,False,3,4,2,False,False,154,small, Cursed Land,True,16.225689
6e32da6c,8/23/1600,2/6/1609,False,2.590673,40.046732,0.462273,7.040505,10.994205,False,2,4,0,False,False,120,small,NA,True,51.014302
6e32daa6,8/20/1602,5/22/1609,False,55.897456,31.660968,69.587393,34.93649,13.678877,False,2,4,0,False,False,128,small, The Mountains,True,42.202753
6e32dab8,3/23/1605,9/24/1608,False,33.571299,58.006286,27.03645,5.642095,2.25188,True,3,4,4,False,False,102,huge, Cursed Land,True,68.538095
6e32dac9,9/19/1604,5/3/1608,False,26.265144,71.502651,114.976249,134.856613,18.012778,False,3,3,4,False,False,88,huge, The Mountains,True,82.167685
6e32daef,7/23/1600,8/18/1612,False,77.712775,41.621666,64.695318,0.0,65.337976,False,4,3,4,False,False,118,huge, The Mountains,True,52.230051
6e32db14,9/22/1602,9/17/1612,False,101.039157,48.775611,58.612124,71.684414,13.980055,False,2,0,4,False,False,111,small, Servant's Premises,True,59.393033
6e32db2d,4/14/1606,11/11/1609,False,120.172892,18.774453,95.196629,26.452206,28.395531,True,4,2,3,False,False,141,small, King's Landing,True,28.918138
6e32db30,8/19/1601,4/1/1609,False,32.809044,30.995548,24.832911,118.884046,38.166656,False,4,2,4,False,False,129,small, Servant's Premises,True,41.266838
6e32dbb0,9/25/1605,3/20/1608,False,13.259008,87.46687,0.0,28.257907,36.106738,True,4,3,4,False,True,73,small, Servant's Premises,True,97.904559
6e32dbd6,1/14/1601,5/15/1612,False,28.57858,32.679073,33.520647,170.774711,1.12308,True,3,4,3,False,False,127,huge,NA,True,43.261264
6e32dbe6,1/24/1600,9/15/1611,False,41.52486,24.177683,82.337535,106.204006,52.170652,False,3,3,3,False,False,136,huge, The Mountains,True,34.870669
6e32dc04,2/14/1603,1/9/1610,False,0.0,80.813349,0.0,39.48408,32.521676,False,4,4,2,False,False,79,huge, The Mountains,False,90.939247
6e32dc0e,7/7/1606,5/28/1608,False,29.954496,46.111767,100.416143,185.572462,40.45213,False,4,2,2,False,False,114,small, The Mountains,True,56.141067
6e32dc7f,9/22/1601,1/25/1609,False,44.40883,20.28182,28.123031,43.449865,25.555968,False,4,2,4,False,False,140,huge, Servant's Premises,True,30.531123
6e32dc85,4/7/1601,3/14/1612,False,25.870737,95.675022,32.204322,53.236606,25.554439,True,3,3,4,False,False,64,huge, Cursed Land,False,106.171313
6e32dc9a,9/13/1601,6/28/1608,True,32.282513,37.360832,83.333392,24.436179,27.447305,False,0,4,3,True,False,123,no, The Mountains,True,47.966981
6e32dc9c,7/1/1602,8/7/1610,False,130.104983,36.432812,44.832241,187.997617,28.456984,False,2,2,3,False,False,124,huge, King's Landing,True,46.749296
6e32dcc0,1/22/1603,11/23/1612,True,24.229662,93.171897,40.850722,34.709586,14.87992,True,2,4,4,True,False,67,no, Servant's Premises,True,103.899424
6e32dd17,8/17/1601,9/21/1611,False,25.49406,57.809154,24.669896,144.724429,31.091122,False,3,2,4,False,False,102,small, King's Landing,True,68.033963
6e32ddd1,4/7/1606,3/7/1608,False,17.663664,10.76579,38.19646,21.675685,47.616367,False,2,2,4,False,True,149,huge, King's Landing,False,21.40463
6e32de8a,10/12/1600,5/18/1610,True,0.0,0.002995,89.914198,71.379675,9.44295,False,2,0,4,True,False,160,no, The Mountains,False,10.668019
6e32dec2,11/13/1600,12/19/1609,False,44.010038,53.428316,0.0,121.257389,33.930611,False,3,2,2,False,False,107,small, Cursed Land,True,63.47426
6e32dede,6/19/1602,12/4/1610,False,33.465865,3.181458,37.755254,21.545842,4.343439,True,0,4,2,False,True,157,huge,NA,False,14.082934
6e32dee2,10/12/1604,8/20/1611,False,0.0,55.336388,31.037339,67.951802,15.939301,False,2,3,4,False,False,105,small, The Mountains,True,66.057408
6e32df2c,9/2/1600,2/11/1607,False,30.722151,66.549389,28.235549,90.198486,69.249907,False,3,3,2,False,False,93,small, The Mountains,True,77.42485
