house_id,date_built,date_price,garden,dock,capital,royal_market,guarding_tower,river,renovation,dining_rooms,bedrooms,bathrooms,king_visit,curse_orcerer,king_blessed,land_of_farm,location,holy_tree,knight
6e32ced5,3/12/1600,10/26/1607,False,32.624227,1.95597,88.485147,77.692256,33.929217,False,3,2,2,False,False,158,huge, Servant's Premises,True,12.389964
6e32cee4,12/3/1601,8/5/1607,False,13.986232,0.212412,20.485516,138.362509,78.94806,False,4,3,2,False,False,160,huge, The Mountains,True,10.794902
6e32cef3,1/14/1602,8/27/1611,False,0.0,23.338276,126.491446,128.876997,0.630053,False,3,4,2,False,False,137,small, Cursed Land,True,34.143765
6e32d003,2/1/1606,1/16/1608,False,0.0,84.490468,60.125968,47.483615,57.461829,False,2,2,4,False,True,76,huge,NA,False,95.46071
6e32d035,10/25/1606,6/26/1612,False,42.73277,8.168785,138.642448,44.588025,66.347237,False,4,3,3,False,True,152,small, The Mountains,False,18.370135
6e32d06d,7/15/1603,8/5/1608,False,0.0,52.160561,21.63996,137.605033,45.171562,False,2,2,2,False,False,108,huge, King's Landing,True,62.337068
6e32d09b,7/18/1600,1/25/1610,False,6.133424,9.548414,62.14781,164.368723,51.074174,False,2,2,4,False,False,150,small, Cursed Land,False,19.852732
6e32d0a9,12/13/1601,7/9/1611,False,34.516962,12.362987,51.752341,221.167684,23.389574,False,3,4,4,False,False,148,small, Cursed Land,False,23.207646
6e32d17d,3/27/1604,8/1/1612,False,52.818865,58.917994,0.0,0.0,38.749152,True,2,4,4,False,False,101,small, Cursed Land,True,69.27917
6e32d19a,12/28/1603,8/12/1607,False,4.08862,18.35804,35.164609,97.013636,72.149977,False,3,3,0,False,False,142,small, The Mountains,True,28.407371
6e32d1e3,3/18/1600,9/2/1608,False,0.0,28.133654,110.38705,155.675028,75.893477,True,2,2,2,False,False,132,huge, The Mountains,True,38.995417
6e32d21d,12/15/1604,10/3/1608,False,26.439016,21.152981,12.609816,152.645551,21.630427,True,2,2,4,False,False,139,small, The Mountains,True,31.955509
6e32d269,4/19/1604,12/14/1612,False,18.787588,21.7659,0.0,81.202202,27.218572,False,3,3,3,False,False,138,small, Cursed Land,False,32.449107
6e32d275,2/7/1600,7/24/1607,False,79.121346,30.069478,35.058883,65.446763,13.301845,False,3,3,3,False,False,130,small, The Mountains,True,40.269542
6e32d27b,7/25/1600,4/3/1608,False,155.302724,46.140427,3.804466,51.617393,23.031992,True,3,2,4,False,False,114,small, Servant's Premises,True,56.996501
6e32d29d,6/19/1600,9/4/1608,False,90.291618,63.684995,86.769286,112.12868,50.914717,False,2,2,3,False,True,96,huge, Servant's Premises,False,74.665942
6e32d2a0,8/3/1606,8/3/1610,False,19.01135,68.471378,73.262602,145.073613,11.284554,False,4,4,2,False,False,92,small, King's Landing,True,79.325718
6e32d2ad,12/12/1606,8/17/1610,False,40.716963,6.492564,22.332631,106.545748,5.673422,False,3,2,3,False,False,154,huge, The Mountains,False,17.315056
6e32d2c5,3/24/1602,2/18/1608,False,7.838669,8.9473,1.339341,123.740967,50.107181,False,2,4,4,False,True,151,small, The Mountains,False,19.729401
6e32d2eb,12/19/1601,8/25/1607,False,0.0,58.149003,17.914025,20.636946,30.103003,False,4,4,2,False,False,102,small, The Mountains,True,69.059271
6e32d397,3/8/1600,4/15/1612,False,0.0,62.227678,41.576516,7.502226,24.321214,False,2,4,4,False,False,98,small, The Mountains,True,72.620366
6e32d3d3,6/22/1605,12/19/1610,False,86.626805,52.287334,0.0,175.95497,85.48453,False,4,2,2,False,False,108,small, The Mountains,False,62.343727
6e32d3d9,3/22/1600,1/6/1612,False,5.516341,8.441605,150.576814,182.077694,44.097749,False,4,4,3,False,False,152,small, The Mountains,True,19.222046
6e32d42b,1/5/1603,12/4/1611,False,11.205839,0.0,0.0,66.857477,55.146329,False,4,2,2,False,False,74,small, The Mountains,True,0.0
6e32d4ca,6/26/1606,9/6/1609,False,50.427544,12.311291,77.875815,147.708899,4.188586,False,2,3,2,False,False,148,small, The Mountains,True,23.246633
6e32d4d0,3/5/1606,7/12/1611,False,0.0,37.985187,77.819581,157.837482,54.402136,False,3,3,0,False,False,122,small, The Mountains,True,47.998161
6e32d4fe,2/5/1600,8/7/1611,False,45.645507,24.801074,15.248612,182.68961,36.427721,False,2,2,4,False,False,135,small, Servant's Premises,False,35.226206
6e32d535,3/21/1603,12/1/1608,True,128.497793,56.378444,0.0,86.815717,9.53455,False,2,4,4,True,False,104,no, The Mountains,True,66.960326
6e32d552,1/14/1605,9/9/1609,False,5.756294,99.59704,65.631939,36.934096,7.18929,False,3,2,4,False,False,60,small, Cursed Land,True,109.764134
6e32d55d,3/16/1605,1/28/1609,False,67.517397,9.900695,104.146858,100.402789,1.7267,False,4,4,2,False,False,150,small, King's Landing,True,19.999984
6e32d58f,7/26/1601,11/9/1608,False,69.809032,0.475364,25.561542,37.016979,90.843875,False,2,3,3,False,False,160,small, Servant's Premises,False,10.538304
6e32d5e1,9/8/1602,8/24/1610,False,54.77161,29.208021,67.680206,167.519888,42.29724,False,3,4,4,False,False,131,huge, Cursed Land,True,39.301059
6e32d611,9/14/1600,5/20/1608,False,10.233809,59.335873,25.856406,20.094269,17.407448,False,3,4,4,False,False,101,small, King's Landing,False,69.877625
6e32d690,5/12/1602,7/22/1609,False,21.287549,76.683082,0.0,96.647935,29.522435,False,3,0,4,False,False,83,huge, Cursed Land,True,87.589485
6e32d6b6,7/16/1601,12/12/1610,False,74.389066,19.89654,40.333452,92.802186,65.78156,False,0,2,2,False,False,140,small, The Mountains,True,30.491071
6e32d6c8,12/22/1602,1/11/1612,False,21.966556,50.89103,48.567311,213.452066,15.11293,True,3,4,3,False,False,109,small,NA,True,61.04736
6e32d6e6,2/1/1605,10/1/1612,True,139.037816,114.934687,12.1612,7.595812,15.411638,False,4,3,3,True,False,45,no, Servant's Premises,True,125.32471
6e32d71a,3/24/1600,3/16/1612,False,0.0,15.861645,59.53707,103.846541,61.912237,False,2,4,3,False,True,144,huge, The Mountains,False,26.062257
6e32d72b,12/26/1605,12/5/1610,False,28.254022,0.0,0.0,40.297677,59.631269,False,3,2,4,False,False,74,small, King's Landing,True,0.0
6e32d758,5/1/1604,7/25/1607,False,8.576094,55.674131,29.189992,164.155789,3.705821,False,4,2,4,False,True,104,huge, The Mountains,False,65.95383
6e32d78a,5/9/1602,8/6/1611,False,38.284104,39.751638,75.602668,38.246062,24.37924,False,2,4,3,False,False,120,small, The Mountains,True,49.811641
6e32d798,10/8/1601,10/7/1610,False,97.517365,38.143796,22.596347,52.459159,18.350144,True,0,0,4,False,False,122,small, The Mountains,True,48.237464
6e32d7b8,4/27/1602,8/3/1609,False,0.401073,3.609288,5.344636,112.042485,60.414815,False,3,3,4,False,False,156,small, The Mountains,True,14.479181
6e32d7cf,2/6/1603,5/10/1607,False,69.511168,104.502956,112.636644,125.886757,4.055463,False,3,2,3,False,False,55,huge, King's Landing,True,114.737593
6e32d8e9,4/26/1605,4/23/1612,False,24.538135,4.059229,136.834843,64.063453,81.8533,False,4,3,2,False,False,156,small, Cursed Land,True,14.77585
6e32d92c,10/2/1605,6/3/1607,False,20.440096,22.516637,0.490317,160.611977,40.763736,False,0,2,3,False,False,137,huge, The Mountains,True,32.783249
6e32d97b,9/1/1603,3/25/1612,False,11.504165,1.682629,12.567198,136.053715,28.212848,False,0,4,3,False,False,158,small, Servant's Premises,True,12.13042
6e32d9bb,8/4/1601,8/17/1610,False,108.065507,80.0527,117.675863,64.724292,21.677925,False,0,2,4,False,False,80,small, Cursed Land,False,90.81908
6e32da00,6/20/1604,5/22/1608,False,5.394105,83.567544,49.647033,53.656341,23.100858,False,3,2,2,False,False,76,small, Servant's Premises,True,93.655581
6e32da1b,1/15/1601,12/27/1609,False,25.530188,1.419402,0.482424,23.223836,8.350184,False,3,2,2,False,False,159,small, The Mountains,True,11.575171
6e32da59,3/11/1600,7/13/1609,False,91.183587,27.503866,70.764559,88.53703,73.058412,False,4,3,2,False,False,132,small, The Mountains,True,37.794464
6e32da5e,12/18/1602,8/2/1608,False,8.331587,31.522193,5.776152,47.532552,30.531077,False,3,2,4,False,False,128,huge, King's Landing,False,41.814258
6e32dabe,6/28/1603,7/19/1611,False,52.299741,110.743327,34.755754,62.339282,35.981456,False,3,2,4,False,False,49,small, Cursed Land,True,121.580152
6e32daf6,9/18/1601,7/15/1609,False,13.241021,59.520113,73.940799,163.952007,12.149309,False,3,4,2,False,False,100,small, The Mountains,True,69.62737
6e32db0e,10/13/1604,8/26/1612,False,38.54874,56.809377,41.496349,107.592565,56.10542,False,4,2,2,False,True,103,small, The Mountains,False,67.229888
6e32db39,1/9/1600,12/12/1607,True,20.719557,0.0,67.685422,230.237346,16.938462,False,3,2,4,True,False,74,no, King's Landing,False,0.0
6e32db93,12/26/1605,12/12/1608,False,39.088534,27.159116,11.678821,9.526956,8.972537,False,2,4,4,False,False,133,small, The Mountains,True,37.935735
6e32dbee,9/25/1603,12/27/1608,False,82.536051,16.203147,24.497704,147.565439,51.206307,True,4,4,4,False,False,144,small, The Mountains,True,26.847462
6e32dc09,5/12/1600,12/8/1607,False,69.691472,26.514154,23.150678,121.018522,2.122932,False,4,4,4,False,True,133,small, Cursed Land,False,36.849642
6e32dc31,3/5/1601,10/18/1608,False,60.168398,13.094293,32.858258,63.66991,7.147328,False,4,0,4,False,False,147,small, The Mountains,True,23.500095
6e32dcb9,9/27/1604,1/4/1612,False,0.0,78.899302,14.033782,29.663263,37.705048,False,3,3,4,False,False,81,small, The Mountains,True,89.467431
6e32dd5d,3/16/1601,1/13/1611,False,37.891317,24.522492,66.553344,126.232115,77.967648,False,4,4,3,False,False,135,huge, The Mountains,True,34.745557
6e32de65,2/1/1604,8/22/1610,False,32.487458,43.600908,36.236366,167.066059,51.917233,True,0,3,2,False,False,116,small,NA,True,54.424515
6e32de7e,1/1/1602,5/11/1607,False,78.908401,27.2789,63.22465,39.396276,21.488309,True,3,2,3,False,False,133,huge, The Mountains,True,37.363224
6e32df0f,9/6/1603,10/17/1612,False,33.615756,26.805212,61.092018,94.513606,24.170967,False,2,4,4,False,False,133,huge, King's Landing,True,37.195087
6e32df5f,6/5/1603,3/15/1607,False,88.592535,97.332332,63.599974,194.844709,39.599622,False,0,4,4,False,False,63,small, The Mountains,False,107.483339
6e32df79,10/18/1603,1/18/1608,False,11.498816,32.965772,104.624301,56.723421,37.219113,False,2,3,2,False,False,127,small,NA,True,43.137075
6e32dfa9,7/28/1602,6/15/1610,False,17.983838,6.456948,85.632202,0.0,54.21089,False,2,4,2,False,False,154,small, The Mountains,False,16.890273
6e32e004,9/11/1604,3/26/1608,False,62.200763,53.394538,23.409957,17.047317,1.586919,False,3,3,2,False,False,107,huge,NA,False,63.484069
6e32e017,5/22/1601,5/6/1609,False,45.681948,38.422709,0.0,131.687912,39.086859,False,0,4,3,False,False,122,small, Cursed Land,False,48.884704
6e32e048,9/20/1605,8/22/1609,False,70.466563,20.187215,41.352591,128.775675,6.111813,False,4,3,3,False,False,140,small, The Mountains,True,30.668986
6e32e054,5/14/1601,6/11/1610,False,19.007294,116.022222,72.917493,256.433581,28.10076,False,0,4,4,False,False,44,small, The Mountains,True,126.329819
6e32e067,2/8/1600,8/4/1608,False,75.270047,8.034708,104.833448,178.003445,51.145072,False,2,4,4,False,True,152,small, Servant's Premises,True,18.914534
6e32e0be,2/19/1601,8/6/1608,False,5.379288,0.0,89.598044,64.883558,0.630313,False,4,2,3,False,False,74,small, Cursed Land,False,0.0
6e32e0f0,5/23/1602,1/4/1611,False,75.613964,20.56976,27.078861,14.080796,54.335078,True,2,2,3,False,False,139,small, The Mountains,True,30.953539
6e32e116,6/11/1603,6/1/1607,False,69.638248,39.508779,0.0,35.690701,22.430103,False,3,2,3,False,False,120,small, Servant's Premises,True,50.007189
6e32e11d,11/15/1606,4/5/1609,False,8.629526,19.58689,34.377111,10.694787,46.34399,False,2,2,4,False,False,140,small, The Mountains,False,30.324081
6e32e127,12/24/1602,11/12/1609,False,10.317803,13.536811,89.401051,156.946235,10.694904,True,0,3,4,False,False,146,small, King's Landing,False,24.227998
6e32e137,12/22/1602,7/22/1612,False,23.963421,72.305144,40.420983,30.957451,11.633159,False,3,2,3,False,False,88,huge, Cursed Land,True,83.131911
6e32e150,6/6/1604,11/21/1612,False,94.246972,47.803632,84.735125,43.541033,56.02272,False,4,3,4,False,False,112,small, The Mountains,True,58.456581
6e32e18f,10/23/1602,10/28/1608,False,103.914947,2.060656,90.298572,3.705675,15.444906,False,3,4,2,False,True,158,small, Servant's Premises,False,12.456542
6e32e194,8/12/1606,9/4/1612,False,45.215295,22.99073,88.297587,121.128935,10.462605,False,4,3,2,False,False,137,small, The Mountains,True,33.918777
6e32e1a0,11/25/1604,1/3/1608,False,115.494359,24.117149,53.358272,157.214901,52.755762,False,4,2,2,False,True,136,huge, The Mountains,True,34.543068
6e32e1fc,12/18/1605,11/24/1611,False,25.582566,8.420592,0.0,246.705701,18.546881,True,0,4,2,False,False,152,huge, King's Landing,True,19.27411
6e32e22b,4/14/1606,11/25/1611,False,51.675952,11.224042,105.700939,86.047919,77.183948,False,3,4,2,False,False,149,huge, The Mountains,True,21.872708
6e32e24b,5/18/1602,2/20/1611,False,33.339464,0.0,73.112655,113.088585,17.306181,False,4,2,4,False,False,74,small, The Mountains,True,0.0
6e32e259,7/11/1602,6/22/1609,False,46.296045,37.809401,63.728033,68.744528,32.305846,False,4,2,2,False,False,122,small, Cursed Land,False,47.817167
6e32e2e3,8/13/1601,10/10/1612,False,43.132836,20.396563,45.41076,43.484445,42.923536,False,4,2,3,False,True,140,huge, The Mountains,False,30.692634
6e32e301,4/12/1606,2/9/1609,False,53.833721,32.20604,4.61337,4.49411,36.508186,False,3,4,3,False,False,128,small, Cursed Land,False,42.39795
6e32e38b,1/4/1604,6/15/1610,False,16.228656,0.0,112.689679,97.247317,9.012373,False,4,4,3,False,False,74,huge, Servant's Premises,False,0.0
6e32e395,8/10/1604,11/17/1612,False,6.016448,17.780012,87.641584,53.230578,11.370882,False,3,3,3,False,False,142,small, The Mountains,True,27.810975
6e32e3dc,9/16/1604,5/26/1607,False,0.0,64.026228,54.94663,181.247912,33.611969,False,4,3,4,False,False,96,small, Servant's Premises,True,74.601187
6e32e3e9,9/4/1602,2/27/1607,False,83.238669,0.0,24.454678,12.13204,28.49068,False,0,2,4,False,False,74,huge, The Mountains,False,0.0
6e32e40f,9/25/1603,10/26/1611,True,53.658377,109.865076,39.601477,77.955198,68.277719,True,2,2,2,True,False,50,no, King's Landing,True,120.350172
6e32e42c,2/28/1605,4/25/1611,False,56.469259,23.426389,73.4091,117.233422,7.381028,False,3,4,2,False,True,137,small, The Mountains,True,34.206023
6e32e46c,11/1/1606,7/15/1611,False,0.181985,16.040243,74.606969,110.178922,6.849416,False,2,4,2,False,False,144,small, The Mountains,False,26.64823
6e32e4b2,4/17/1606,1/4/1609,False,103.120145,13.648794,76.649734,0.0,2.561303,False,2,3,3,False,True,146,huge, King's Landing,False,24.456188
6e32e4ea,4/18/1601,2/6/1612,False,9.179482,11.172137,54.8821,28.278353,37.122327,False,3,3,4,False,False,149,huge, Servant's Premises,True,21.974207
6e32e521,1/20/1601,12/18/1611,False,7.221063,0.0,21.235949,33.632048,60.981533,False,2,3,2,False,False,74,small, Cursed Land,True,0.0
6e32e550,7/24/1605,6/18/1612,False,76.686506,89.384352,15.173435,127.719349,4.824795,False,2,4,2,False,False,71,small, King's Landing,False,100.286411
6e32e5ed,11/7/1600,9/14/1608,False,34.515118,10.281998,84.048248,19.99427,6.684997,False,2,3,3,False,False,150,small, The Mountains,True,21.170672
6e32e5fa,8/12/1600,2/27/1612,True,31.547556,114.59533,11.237069,24.551272,0.95045,False,4,3,2,True,True,45,no, King's Landing,True,125.02381
6e32e60a,2/10/1600,10/22/1612,False,73.375078,12.726092,0.0,7.172996,12.147271,False,2,4,4,False,False,147,small, Servant's Premises,True,22.75228
6e32e618,2/9/1606,6/17/1607,True,6.129789,23.483613,61.826067,154.932923,55.028022,False,3,4,3,True,False,137,no, Cursed Land,True,33.87554
6e32e650,1/13/1605,3/22/1611,False,39.248417,68.066425,13.841923,54.217477,55.4811,False,2,3,3,False,False,92,huge, Cursed Land,True,78.5934
6e32e66a,6/23/1603,4/10/1609,False,27.481998,28.197423,51.693393,40.979959,27.202,False,4,0,2,False,False,132,huge, Servant's Premises,True,38.998971
6e32e6e0,10/27/1603,2/8/1609,False,0.0,8.142458,22.133233,113.785619,53.828775,False,2,0,2,False,False,152,small, King's Landing,True,18.719996
6e32e717,8/22/1606,1/16/1609,False,28.359714,89.256524,104.949904,31.851307,13.647591,False,2,3,4,False,False,71,small, The Mountains,True,99.747244
6e32e731,8/11/1606,12/23/1610,False,10.858249,13.34497,10.131866,25.323162,25.567942,False,4,3,3,False,False,147,huge, King's Landing,True,23.821745
6e32e778,9/6/1602,5/16/1609,False,2.83065,87.201871,76.516572,116.152891,1.819556,False,4,4,0,False,False,73,small, The Mountains,True,98.011283
6e32e785,12/15/1600,9/5/1611,False,42.346926,0.0,67.074954,114.594615,19.495522,False,2,2,0,False,False,74,small, The Mountains,True,0.0
6e32e787,9/18/1601,12/26/1607,False,23.469393,13.179296,23.261008,49.821358,68.554256,False,2,3,2,False,False,147,huge, Servant's Premises,True,23.823544
6e32e7e8,2/20/1601,11/2/1610,True,61.713523,10.992238,18.523669,76.11413,7.137917,False,2,3,2,True,False,149,no, Servant's Premises,True,21.254474
6e32e822,1/3/1602,11/11/1610,False,10.153563,16.66397,110.56653,6.130738,64.767324,False,2,2,2,False,False,143,small, The Mountains,True,27.202447
6e32e850,5/26/1604,10/20/1610,True,35.162037,27.365009,0.0,115.116998,6.767691,False,2,2,4,True,False,133,no, Servant's Premises,True,38.319992
6e32e855,4/19/1605,3/26/1610,False,47.286504,52.05499,0.0,119.78529,42.212534,True,3,3,4,False,False,108,small,NA,False,62.507031
6e32e890,10/17/1605,9/8/1608,False,43.822431,4.958591,39.737622,24.653776,14.228982,False,4,4,4,False,False,155,small, Cursed Land,False,15.403434
6e32e8ba,9/18/1604,10/6/1608,False,2.744708,0.017442,0.0,99.494245,60.548279,False,2,3,3,False,False,160,small, The Mountains,True,10.163852
6e32e8ef,12/10/1602,11/21/1610,False,6.788303,13.228703,31.531143,281.741198,31.267833,True,3,3,3,False,True,147,small, The Mountains,False,23.871836
6e32e904,9/5/1602,8/10/1608,False,55.157034,20.947177,38.557838,77.004436,7.318812,False,2,3,2,False,False,139,small, Servant's Premises,True,31.681576
6e32e91b,10/14/1600,10/28/1609,False,2.631098,68.016227,9.384985,98.280482,57.865964,True,3,2,0,False,False,92,small, The Mountains,False,78.170627
6e32e94a,9/26/1602,4/1/1608,False,34.778882,16.85354,7.796522,38.195227,22.164896,True,3,3,4,False,True,143,small, Servant's Premises,True,27.483639
6e32e99b,3/27/1603,2/8/1611,False,0.834004,63.362791,3.89069,27.370871,31.774053,False,4,4,4,False,False,97,small,NA,False,74.008938
6e32e9a6,1/22/1602,10/6/1612,False,4.478844,44.745379,10.839758,129.599109,17.898816,False,3,3,4,False,False,115,small, The Mountains,True,55.27226
6e32e9ed,1/19/1603,9/13/1610,False,63.628057,0.0,118.912538,243.832677,57.779432,False,2,2,2,False,False,74,small,NA,True,0.0
6e32ea6a,6/5/1602,9/25/1610,True,68.768462,0.203217,45.467822,156.660288,11.568294,False,3,3,3,True,False,160,no, Cursed Land,True,10.544811
6e32ea7b,9/10/1604,1/18/1609,False,25.784098,7.077926,11.468801,0.0,14.771493,False,3,3,2,False,False,153,small, The Mountains,True,17.811592
6e32eac0,9/25/1605,10/27/1608,False,1.558618,8.913065,47.653381,197.243908,50.481689,False,3,4,3,False,False,151,huge, Servant's Premises,True,19.785666
